HS Code,Description
8455,Metal-rolling mills and rolls therefor; parts of metal-rolling mills
8456,Machine tools for working any material by removal of material by laser or other light or photon beam ultrasonic electro-discharge electro-chemical electron beam ionic-beam or plasma arc processes; water-jet cutting machines (excl. cleaning apparatus operated by ultrasonic processes soldering and welding machines incl. those which can be used for cutting and material testing machines)
8457,"Machining centres unit construction machines ""single station"" and multi-station transfer machines for working metal"
8458,Lathes incl. turning centres for removing metal
8459,Machine tools incl. way-type unit head machines for drilling boring milling threading or tapping (excl. lathes and turning centres of heading 8458 gear cutting machines of heading 8461 and hand-operated machines)
8460,Machine tools for deburring sharpening grinding honing lapping polishing or otherwise finishing metal or cermets by means of grinding stones abrasives or polishing products (excl. gear cutting gear grinding or gear finishing machines of heading 8461 and machines for working in the hand)
8461,Machine tools for planing shaping slotting broaching gear cutting gear grinding or gear finishing sawing cutting-off and other machine tools working by removing metal sintered metal carbides or cermets n.e.s.
8462,Machine tools incl. presses for working metal by forging hammering or die-stamping; machine tools incl. presses for working metal by bending folding straightening flattening shearing punching or notching; presses for working metal or metal carbides (excl. machines of chapters 8456 to 8461)
8463,Machine tools for working metal sintered metal carbides or cermets without removing material (excl. forging bending folding straightening and flattening presses shearing machines punching or notching machines presses and machines for working in the hand)
8464,Machine tools for working stone ceramics concrete asbestos-cement or like mineral materials or for cold-working glass (excl. machines for working in the hand)
8465,Machine tools incl. machines for nailing stapling glueing or otherwise assembling for working wood cork bone hard rubber hard plastics or similar hard materials (excl. machines for working in the hand)
8466,Parts and accessories suitable for use solely or principally with the machines of headings 8456 to 8465 incl. work or tool holders self-opening dieheads dividing heads and other special attachments for the machines n.e.s.; tool holders for any type of tool for working in the hand
8467,Tools for working in the hand pneumatic hydraulic or with self-contained electric or non-electric motor; parts thereof
8471,Automatic data-processing machines and units thereof; magnetic or optical readers machines for transcribing data onto data media in coded form and machines for processing such data n.e.s.
8472,Office machines e.g. hectograph or stencil duplicating machines addressing machines automatic banknote dispensers coin-sorting machines coin-counting or coin-wrapping machines pencil-sharpening machines perforating or stapling machines n.e.s.
8473,Parts and accessories (other than covers carrying cases and the like) suitable for use solely or principally with machines of heading 8469 to 8472 n.e.s.
8474,Machinery for sorting screening separating washing crushing grinding mixing or kneading earth stone ores or other mineral substances in solid incl. powder or paste form; machinery for agglomerating shaping or moulding solid mineral fuels ceramic paste unhardened cements plastering materials or other mineral products in powder or paste form; machines for forming foundry moulds of sand; parts thereof
8475,Machines for assembling electric or electronic lamps tubes or valves or flashbulbs in glass envelopes; machines for manufacturing or hot working glass or glassware (excl. furnaces and heating apparatus for manufacturing toughened glass); parts thereof
8476,Automatic goods-vending machines e.g. postage stamp cigarette food or beverage machines incl. money-changing machines; parts thereof
8477,Machinery for working rubber or plastics or for the manufacture of products from these materials not specified or included elsewhere in this chapter parts thereof
8479,Machines and mechanical appliances having individual functions not specified or included elsewhere in this chapter; parts thereof
8480,Moulding boxes for metal foundry; mould bases; moulding patterns; moulds for metal (other than ingot moulds) metal carbides glass mineral materials rubber or plastics (excl. moulds of graphite or other carbons ceramic or glass moulds and linotype moulds or matrices)
8481,Taps cocks valves and similar appliances for pipes boiler shells tanks vats or the like incl. pressure-reducing valves and thermostatically controlled valves; parts thereof
8482,Ball or roller bearings (excl. steel balls of heading 7326); parts thereof
8483,Transmission shafts incl. camshafts and crankshafts and cranks; bearing housings and plain shaft bearings for machines; gears and gearing; ball or roller screws gear boxes and other speed changers incl. torque converters; flywheels and pulleys incl. pulley blocks clutches and shaft couplings incl. universal joints; parts thereof
8487,Machinery parts n.e.s. in chapter 84 (excl. parts containing electrical connectors insulators coils contacts or other electrical features)
84011000,Nuclear reactors [Euratom]
84012000,Machinery and apparatus for isotopic separation and parts thereof n.e.s. [Euratom]
84013000,"Fuel elements ""cartridges"" non-irradiated in casing with handling fixtures for nuclear reactors [Euratom]"
84014000,Parts of nuclear reactors n.e.s. [Euratom]
84021100,Watertube boilers with a steam production > 45 t/hour
84021200,Watertube boilers with a steam production <= 45 t/hour (excl. central heating hot water boilers capable also of producing low pressure steam) ...
840219,Vapour generating boilers incl. hybrid boilers (excl. central heating hot water boilers capable also of producing low pressure steam)
84021910,Firetube boilers (excl. central heating hot water boilers capable also of producing low pressure steam)
84021990,Vapour generating boilers incl. hybrid boilers (excl. watertube boilers firetube boilers and central heating hot water boilers capable also of producing low pressure steam)
84022000,Superheated water boilers
84029000,Parts of vapour generating boilers and superheated water boilers n.e.s.
840310,Central heating boilers non-electric (excl. vapour generating boilers and superheated water boilers of heading 8402)
84031010,Central heating boilers non-electric of cast iron (excl. vapour generating boilers and superheated water boilers of heading 8402)
84031090,Central heating boilers non-electric (excl. of cast iron and vapour generating boilers and superheated water boilers of heading 8402)
840390,Parts of central heating boilers n.e.s.
84039010,Parts of central heating boilers of cast iron n.e.s.
84039090,Parts of central heating boilers n.e.s.
84041000,Auxiliary plant for use with boilers of heading 8402 or 8403 e.g. economizers superheaters soot removers and gas recoverers;
84042000,Condensers for steam or other vapour power units
84049000,Parts of auxiliary plant of heading 8402 or 8403 and condensers for steam or other vapour power units n.e.s.
84051000,Producer gas or water gas generators with or without their purifiers; acetylene gas generators and similar water process gas generators with or without their purifiers (excl. coke ovens electrolytic process gas generators and carbide lamps)
84059000,Parts of producer gas or water gas generators and acetylene gas generators or similar water process gas generators n.e.s.
84061000,Steam and other vapour turbines for marine propulsion
84068100,Steam and other vapour turbines of an output > 40 MW (excl. those for marine propulsion)
84068200,Steam and other vapour turbines of an output <= 40 MW (excl. those for marine propulsion) ...
840690,Parts of steam and other vapour turbines n.e.s.
84069010,Stator blades rotors and their blades of turbines
84069090,Parts of steam turbines and other vapour turbines n.e.s. (excl. stator blades rotors and their blades)
84071000,Spark-ignition reciprocating or rotary internal combustion piston engine for aircraft
840721,Spark-ignition outboard motors for marine propulsion
84072110,Spark-ignition outboard motors for marine propulsion of a cylinder capacity <= 325 cm³ ...
84072191,Spark-ignition outboard motors for marine propulsion of a cylinder capacity > 325 cm³ and a power <= 30 kW ...
84072199,Spark-ignition outboard motors for marine propulsion of a cylinder capacity > 325 cm³ and a power > 30 kW
84072900,Spark-ignition reciprocating or rotary engines for marine propulsion (excl. outboard motors)
84073100,Spark-ignition reciprocating piston engine of a kind used for the propulsion of vehicles of chapter 87 of a cylinder capacity <= 50 cm³ ...
840732,Spark-ignition reciprocating piston engine of a kind used for the propulsion of vehicles of chapter 87 of a cylinder capacity > 50 cm³ but <= 250 cm³ ...
84073210,Spark-ignition reciprocating piston engine of a kind used for the propulsion of vehicles of chapter 87 of a cylinder capacity of > 50 cm³ but <= 125 cm³ ...
84073290,Spark-ignition reciprocating piston engine of a kind used for the propulsion of vehicles of chapter 87 of a cylinder capacity of > 125 cm³ but <= 250 cm³ ...
840733,Spark-ignition reciprocating piston engine of a kind used for vehicles of chapter 87 of a cylinder capacity > 250 cm³ but <= 1.000 cm³ ...
84073320,Spark-ignition reciprocating piston engine of a kind used for vehicles of chapter 87 of a cylinder capacity > 250 cm³ but <= 500 cm³ ...
84073380,Spark-ignition reciprocating piston engine of a kind used for vehicles of chapter 87 of a cylinder capacity > 500 cm³ but <= 1000 cm³ ...
840734,Spark-ignition reciprocating piston engine of a kind used for vehicles of chapter 87 of a cylinder capacity > 1.000 cm³
84073410,Spark ignition reciprocating piston engine of a cylinder capacity > 1.000 cm³ for the industrial assembly of : pedestrian-controlled tractors of subheading 870110 motor vehicles of heading 8703 motor vehicles of heading 8704 with engines of a cylinder capacity < 2.800 cm³ and motor vehicles of heading 8705
84073430,Spark-ignition reciprocating piston engine of a kind used for vehicles of chapter 87 used of a cylinder capacity > 1.000 cm³
84073491,Spark-ignition reciprocating piston engine of a kind used for vehicles of chapter 87 new of a cylinder capacity <= 1.500 cm³ but > 1.000 cm³ (excl. engines of subheading 84073410)
84073499,Spark-ignition reciprocating piston engine of a kind used for vehicles of chapter 87 new of a cylinder capacity > 1.500 cm³ (excl. those used for the industrial assembly of pedestrian-controlled tractors of subheading 870110 motor vehicles of heading 8703 motor vehicles of heading 8704 with engines of a cylinder capacity < 2.800 cm³ and motor vehicles of heading 8705)
840790,Spark-ignition reciprocating or rotary internal combustion piston engine (excl. those for aircraft or marine propulsion and reciprocating piston engine of a kind used for vehicles of chapter 87)
84079010,Spark-ignition reciprocating or rotary internal combustion piston engine of a cylinder capacity <= 250 cm³ (excl. those for aircraft or marine propulsion and reciprocating piston engine of a kind used for vehicles of chapter 87) ...
84079050,Spark-ignition rotary internal combustion piston engine of a cylinder capacity > 250 cm³ for the industrial assembly of : pedestrian-controlled tractors of subheading 870110 motor vehicles of heading 8703 motor vehicles of heading 8704 with engines of a cylinder capacity < 2.800 cm³ and motor vehicles of heading 8705
84079080,Spark-ignition reciprocating or rotary piston engine of a cylinder capacity > 250 cm³ of a power <= 10 kW (other than engines of subheading 84079050 reciprocating piston engine of a kind used for the propulsion of vehicles of chapter 87 aircraft engines and marine propulsion engines) ...
84079090,Spark-ignition reciprocating or rotary piston engine of a cylinder capacity > 250 cm³ of a power > 10 kW (other than engines of subheading 84079050 reciprocating piston engine of a kind used for the propulsion of vehicles of chapter 87 aircraft engines and marine propulsion engines)
840810,"Compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"" for marine propulsion"
84081011,"Compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"" used for seagoing vessels of heading 8901 to 8906 tugs of subheading 89040010 and warships of subheading 89061000"
84081019,Compression-ignition combustion piston engine used for vessels (other than for seagoing vessels of heading 8901 to 8906 tugs of subheading 89040010 and warships of subheading 89061000)
84081023,"Compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"" for seagoing vessels of heading 8901 to 8906 tugs of subheading 89040010 and warships of subheading 89061000 new of a power <= 50 kW ..."
84081027,"Compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"" for vessels new of a power <= 50 kW (excl. for seagoing vessels of heading 8901 to 8906 for tugs of subheading 89040010 and for warships of subheading 89061000) ..."
840820,"Compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"" for the propulsion of vehicles of chapter 87"
840890,"Compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"" (excl. engines for marine propulsion and engines for vehicles of chapter 87)"
841112,Turbojets of a thrust > 25 kN
841122,Turbopropellers of a power > 1.100 kW
841182,Gas turbines of a power > 5.000 kW (excl. turbojets and turbopropellers)
841221,"Hydraulic power engines and motors linear acting ""cylinders"""
841229,Hydraulic power engines and motors (excl. hydraulic turbines and water wheels of heading 8410 steam turbines and hydraulic power engines and motors linear acting)
841280,Engines and motors (excl. steam turbines internal combustion piston engine hydraulic turbines water wheels gas turbines reaction engines hydraulic power engines and motors pneumatic power engines and motors and electric motors)
841290,Parts of non-electrical engines and motors n.e.s.
841330,Fuel lubricating or cooling medium pumps for internal combustion piston engine
841350,Reciprocating positive displacement pumps for liquids power-driven (excl. those of subheading 841311 and 841319 fuel lubricating or cooling medium pumps for internal combustion piston engine and concrete pumps)
841360,Rotary positive displacement pumps for liquids power-driven (excl. those of subheading 841311 and 841319 and fuel lubricating or cooling medium pumps for internal combustion piston engine)
841370,Centrifugal pumps power-driven (excl. those of subheading 841311 and 841319 fuel lubricating or cooling medium pumps for internal combustion piston engine and concrete pumps)
841410,Vacuum pumps
841420,Hand-operated or foot-operated air pumps
841430,Compressors for refrigerating equipment
841440,Air compressors mounted on a wheeled chassis for towing
841459,Fans (excl. table floor wall window ceiling or roof fans with a self-contained electric motor of an output <= 125 W) ...
841480,Air pumps air or other gas compressors and ventilating or recycling hoods incorporating a fan whether or not fitted with filters having a maximum horizontal side > 120 cm (excl. vacuum pumps hand- or foot-operated air pumps compressors for refrigerating equipment and air compressors mounted on a wheeled chassis for towing)
841510,"Air conditioning machines designed to be fixed to a window wall ceiling or floor self-contained or ""split-system"""
841610,Furnace burners for liquid fuel
841620,Furnace burners for pulverised solid fuel or gas incl. combination burners
841720,Bakery ovens incl. biscuit ovens non-electric
841780,Industrial or laboratory furnaces and ovens non-electric incl. incinerators (excl. those for the roasting melting or other heat treatment of ores pyrites or metals bakery ovens drying ovens and ovens for cracking operations)
841810,Combined refrigerator-freezers with separate external doors
841821,Household refrigerators compression-type
841830,Freezers of the chest type of a capacity <= 800 l ...
841840,Freezers of the upright type of a capacity <= 900 l ...
841850,"Furniture ""chests cabinets display counters show-cases and the like"" for storage and display incorporating refrigerating or freezing equipment (excl. combined refrigerator-freezers with separate external doors household refrigerators and freezers of the chest type of a capacity <= 800 l or of the upright type of a capacity <= 900 l) ..."
841899,Parts of refrigerating or freezing equipment and heat pumps n.e.s.
841950,Heat-exchange units (excl. those used with boilers)
841981,Machinery plant and equipment for making hot drinks or for cooking or heating food (excl. domestic appliances)
841989,Machinery plant or laboratory equipment whether or not electrically heated for the treatment of materials by a process involving a change of temperature such as heating cooking roasting sterilising pasteurising steaming evaporating vaporising condensing or cooling n.e.s. (excl. machinery used for domestic purposes and furnaces ovens and other equipment of heading 8514)
841990,Parts of machinery plant and laboratory equipment whether or not electrically heated for the treatment of materials by a process involving a change of temperature and of non-electric instantaneous and storage water heaters n.e.s.
842010,Calendering or other rolling machines (other than for metals or glass)
842091,Cylinders for calendering or other rolling machines (other than for metals or glass)
842119,Centrifuges incl. centrifugal dryers (excl. isotope separators cream separators and clothes dryers)
842129,Machinery and apparatus for filtering or purifying liquids (excl. such machinery and apparatus for water and other beverages oil or petrol-filters for internal combustion engines and artificial kidneys)
842139,Machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake air filters for internal combustion engines)
842199,Parts of machinery and apparatus for filtering or purifying liquids or gases n.e.s.
842290,Parts of dishwashing machines packing or wrapping machinery and other machinery and apparatus of heading 8422 n.e.s.
842310,Personal weighing machines incl. baby scales; household scales
842320,Scales for continuous weighing of goods on conveyors
842330,Constant weight scales and scales for discharging a pre-determined weight of material into a bag or container incl. hopper scales (excl. scales for continuous weighing of goods on conveyors)
842381,Weighing machinery having a maximum weighing capacity <= 30 kg (excl. balances of a sensitivity of 5 cg or better personal weighing machines household scales scales for continuous weighing of goods on conveyors constant weight scales and scales for discharging a pre-determined weight of material into a bag or container incl. hopper scales) ...
842382,Weighing machinery of a maximum weighing capacity > 30 kg but <= 5.000 kg (excl. personal weighing machines scales for continuous weighing of goods on conveyors constant weight scales and scales for discharging a pre-determined weight of material into a bag or container incl. hopper scales) ...
842389,Weighing machinery of a maximum weighing capacity > 5.000 kg
842390,Weighing machine weights of all kinds; parts of weighing machinery n.e.s.
842430,Steam or sand blasting machines and similar jet projecting machines incl. water cleaning appliances with built-in motor (excl. appliances for cleaning special containers)
842449,Agricultural or horticultural sprayers (excl. portable)
842482,Agricultural or horticultural mechanical appliances whether or not hand-operated for projecting or dispersing liquids or powders (excl. sprayers)
842489,Mechanical appliances whether or not hand-operated for projecting dispersing or spraying liquids or powders n.e.s.
842490,Parts of fire extinguishers spray guns and similar appliances steam or sand blasting machines and similar jet projecting machines and machinery and apparatus for projecting dispersing or spraying liquids or powders n.e.s.
842691,Cranes designed for mounting on road vehicles
842710,Self-propelled trucks fitted with lifting or handling equipment powered by an electric motor
842720,Self-propelled trucks fitted with lifting or handling equipment non-powered by an electric motor
842810,Lifts and skip hoists
842820,Pneumatic elevators and conveyors
842839,Continuous-action elevators and conveyors for goods or materials (excl. those for underground use and bucket belt or pneumatic types)
842890,Machinery for lifting handling loading or unloading n.e.s.
842940,Self-propelled tamping machines and roadrollers
842951,Self-propelled front-end shovel loaders
842952,Self-propelled mechanical shovels excavators and shovel loaders with a 360° revolving superstructure
843149,Parts of machinery of heading 8426 8429 and 8430 n.e.s.
843229,Harrows scarifiers cultivators weeders and hoes for use in agriculture horticulture or forestry (excl. disc harrows)
843239,Seeders planters and transplanters (excl. no-till machines)
843311,Mowers for lawns parks or sports grounds powered with the cutting device rotating in a horizontal plane
843319,Mowers for lawns parks or sports grounds powered with the cutting device rotating in a vertical plane or with cutter bars
843320,Mowers incl. cutter bars for tractor mounting (excl. mowers for lawns parks or sports grounds)
843353,Root or tuber harvesting machines
843359,Harvesting machinery for agricultural produce (excl. mowers haymaking machinery straw and fodder balers incl. pick-up balers combine harvester-threshers other threshing machinery and root or tuber harvesting machines)
843680,Agricultural horticultural forestry or bee-keeping machinery n.e.s.
843810,Bakery machinery and machinery for the industrial preparation or manufacture of macaroni spaghetti or similar products (excl. ovens macaroni drying machines and dough rollers)
843880,Machinery for the industrial preparation or manufacture of food or drink n.e.s.
844010,Bookbinding machinery incl. book-sewing machines (excl. machinery of heading 8441 general-purpose presses printing machinery of heading 8443 and machines of uses ancillary to printing)
844110,Cutting machines for making up paper pulp paper or paperboard (excl. bookbinding machinery of heading 8440)
844190,Parts of machinery for making up paper pulp paper or paperboard n.e.s.
844313,Offset printing machinery (excl. sheet fed offset printing machinery sheet size <= 22 x 36 cm and reel fed offset printing machinery) ...
844319,Printing machinery used for printing by means of plates cylinders and other printing components of heading 8442 (excl. hectograph or stencil duplicating machines addressing machines and other office printing machines of heading 8469 to 8472 ink jet printing machines and offset flexographic letterpress and gravure printing machinery)
844332,Machines which only perform one of the functions of printing copying or facsimile transmission capable of connecting to an automatic data processing machine or to a network
844391,Parts and accessories of printing machinery used for printing by means of plates cylinders and other printing components of heading 8442
844399,Parts and accessories of printers copying machines and facsimile machines n.e.s. (excl. of printing machinery used for printing by means of plates cylinders and other printing components of heading 8442)
844400,Machines for extruding drawing texturing or cutting man-made textile materials
844720,Flat knitting machines; stitch-bonding machines
844851,Sinkers needles and other articles used in forming stitches for machines of heading 8447
845011,Fully-automatic household or laundry-type washing machines of a dry linen capacity <= 6 kg ...
845180,Machinery for dressing finishing coating or impregnating textile yarns fabrics or other made-up textile articles and machines used in the manufacture of linoleum or other floor coverings for applying the paste to the base fabric or other support (excl. machinery for dressing or finishing felt calenders and general purpose presses)
845210,Sewing machines of the household type
845430,Casting machines of a kind used in metallurgy or in metal foundries
845530,Rolls for metal-rolling mills
845611,Machine tools for working any material by removal of material operated by laser (excl. soldering and welding machines also those which can be used for cutting material testing machines and machines for the manufacture of semiconductor devices or of electronic integrated circuits)
845612,Machine tools for working any material by removal of material operated by light or photon beam processes other than laser (excl. soldering and welding machines also those which can be used for cutting material testing machines and machines for the manufacture of semiconductor devices or of electronic integrated circuits)
845630,Machine tools for working any material by removal of material operated by electro-discharge processes
845710,Machining centres for working metal
845730,Multi-station transfer machines for working metal
845811,Horizontal lathes incl. turning centres for removing metal numerically controlled
845891,Lathes incl. turning centres for removing metal numerically controlled (excl. horizontal lathes)
845961,Milling machines for metals numerically controlled (excl. way-type unit head machines boring-milling machines knee-type milling machines and gear cutting machines)
845969,Milling machines for metals not numerically controlled (excl. way-type unit head machines boring-milling machines knee-type milling machines and gear cutting machines)
846029,Grinding machines for finishing metal not numerically controlled (excl. flat-surface and gear grinding machines)
846040,Honing or lapping machines for working metals metal carbides or cermets (excl. gear cutting gear grinding or gear finishing machines)
846130,Broaching machines for working metals metal carbides or cermets
846140,Gear cutting gear grinding or gear finishing machines for working metals metal carbides or cermets (excl. planing slotting and broaching machines)
846150,Sawing or cutting-off machines for working metals metal carbides or cermets (excl. machines for working in the hand)
846210,Forging or die-stamping machines incl. presses and hammers
846221,Bending folding straightening or flattening machines incl. presses numerically controlled for working metal
846229,Bending folding straightening or flattening machines incl. presses not numerically controlled for working metal
846239,Shearing machines incl. presses not numerically controlled for working metal (excl. combined punching and shearing machines)
846241,Punching or notching machines incl. presses and combined punching and shearing machines numerically controlled for working metal
846249,Punching or notching machines incl. presses and combined punching and shearing machines not numerically controlled for working metal
846291,Hydraulic presses for working metal (excl. forging bending folding straightening and flattening presses)
846299,Presses not hydraulic for working metal (excl. forging bending folding straightening and flattening presses)
846310,Draw-benches for metal bars tubes profiles wire or the like
846420,Grinding or polishing machines for working stone ceramics concrete asbestos-cement or like mineral materials or for cold-working glass (excl. machines for working in the hand)
846510,Machines for working wood cork bone hard rubber hard plastics or similar hard materials which can carry out different types of machining operations without tool change between such operations
846591,Sawing machines for working wood cork bone hard rubber hard plastics or similar hard materials (excl. machines for working in the hand)
846610,Tool holders incl. tool holders for any type of tool for working in the hand and self-opening dieheads for machine tools
846620,Work holders for machine tools
846691,Parts and accessories for machine tools for working stone ceramics concrete asbestos-cement or like mineral materials or for cold-working glass n.e.s.
846692,Parts and accessories for machine tools for working wood cork bone hard rubber hard plastics or similar hard materials n.e.s.
846693,Parts and accessories for machine tools for working material by removing material of headings 8456 to 8461 n.e.s.
846711,Tools for working in the hand pneumatic rotary type incl. combined rotary-percussion
846721,Drills of all kinds for working in the hand with self-contained electric motor
846722,Saws for working in the hand with self-contained electric motor
846729,Electromechanical tools for working in the hand with self-contained electric motor (excl. saws and drills)
847160,Input or output units for automatic data-processing machines whether or not containing storage units in the same housing
847170,Storage units for automatic data-processing machines
847290,Office machines n.e.s.
847321,Parts and accessories of electronic calculating machines of subheading 847010 847021 or 847029 n.e.s.
847329,Parts and accessories of non-electronic calculators for accounting machines cash registers or other machines incorporating a calculating device of heading 8470 n.e.s.
847330,Parts and accessories of automatic data-processing machines or for other machines of heading 8471 n.e.s.
847340,Parts and accessories of other office machines of heading 8472 n.e.s.
847350,Parts and accessories equally suitable for use with machines of two or more of the headings 8470 to 8472 n.e.s.
847480,Machinery for agglomerating shaping or moulding solid mineral fuels ceramic paste unhardened cements plastering materials and other mineral products in powder or paste form; machines for forming foundry moulds of sand (excl. those for the casting or pressing of glass)
847490,Parts of machinery for working mineral substances of heading 8474 n.e.s.
847590,Parts of machines for assembling electric or electronic lamps tubes or valves or flashbulbs in glass envelopes and of machines for manufacturing or hot working glass or glassware n.e.s.
847689,Automatic goods-vending machines without heating or refrigerating devices; money changing machines (excl. automatic beverage-vending machines)
847690,Parts of automatic goods-vending machines incl. money changing machines n.e.s.
