Code,Description
84079010,spark-ignition reciprocating or rotary internal combustion piston engine of a cylinder capacity <= 250 cm³ (excl. those for aircraft or marine propulsion and reciprocating piston engine of a kind used for vehicles of chapter 87) ...
84079050,spark-ignition rotary internal combustion piston engine of a cylinder capacity > 250 cm³ for the industrial assembly of : pedestrian-controlled tractors of subheading 870110 motor vehicles of heading 8703 motor vehicles of heading 8704 with engines of a cylinder capacity < 2.800 cm³ and motor vehicles of heading 8705
84079080,spark-ignition reciprocating or rotary piston engine of a cylinder capacity > 250 cm³ of a power <= 10 kw (other than engines of subheading 84079050 reciprocating piston engine of a kind used for the propulsion of vehicles of chapter 87 aircraft engines and marine propulsion engines) ...
84079090,spark-ignition reciprocating or rotary piston engine of a cylinder capacity > 250 cm³ of a power > 10 kw (other than engines of subheading 84079050 reciprocating piston engine of a kind used for the propulsion of vehicles of chapter 87 aircraft engines and marine propulsion engines)
840810,compression-ignition internal combustion piston engine diesel or semi-diesel engine for marine propulsion
84081011,compression-ignition internal combustion piston engine diesel or semi-diesel engine used for seagoing vessels of heading 8901 to 8906 tugs of subheading 89040010 and warships of subheading 89061000
84081019,compression-ignition combustion piston engine used for vessels (other than for seagoing vessels of heading 8901 to 8906 tugs of subheading 89040010 and warships of subheading 89061000)
84081023,compression-ignition internal combustion piston engine diesel or semi-diesel engine for seagoing vessels of heading 8901 to 8906 tugs of subheading 89040010 and warships of subheading 89061000 new of a power <= 50 kw ...
84081027,compression-ignition internal combustion piston engine diesel or semi-diesel engine for vessels new of a power <= 50 kw (excl. for seagoing vessels of heading 8901 to 8906 for tugs of subheading 89040010 and for warships of subheading 89061000) ...
840820,compression-ignition internal combustion piston engine diesel or semi-diesel engine for the propulsion of vehicles of chapter 87
840890,compression-ignition internal combustion piston engine diesel or semi-diesel engine (excl. engines for marine propulsion and engines for vehicles of chapter 87)
841112,turbojets of a thrust > 25 kn
841122,turbopropellers of a power > 1.100 kw
841182,gas turbines of a power > 5.000 kw (excl. turbojets and turbopropellers)
841221,hydraulic power engines and motors linear acting cylinders
841229,hydraulic power engines and motors (excl. hydraulic turbines and water wheels of heading 8410 steam turbines and hydraulic power engines and motors linear acting)
841280,engines and motors (excl. steam turbines internal combustion piston engine hydraulic turbines water wheels gas turbines reaction engines hydraulic power engines and motors pneumatic power engines and motors and electric motors)
841290,parts of non-electrical engines and motors n.e.s.
841330,fuel lubricating or cooling medium pumps for internal combustion piston engine
841350,reciprocating positive displacement pumps for liquids power-driven (excl. those of subheading 841311 and 841319 fuel lubricating or cooling medium pumps for internal combustion piston engine and concrete pumps)
841360,rotary positive displacement pumps for liquids power-driven (excl. those of subheading 841311 and 841319 and fuel lubricating or cooling medium pumps for internal combustion piston engine)
841370,centrifugal pumps power-driven (excl. those of subheading 841311 and 841319 fuel lubricating or cooling medium pumps for internal combustion piston engine and concrete pumps)
841410,vacuum pumps
841420,hand-operated or foot-operated air pumps
841430,compressors for refrigerating equipment
841440,air compressors mounted on a wheeled chassis for towing
841459,fans (excl. table floor wall window ceiling or roof fans with a self-contained electric motor of an output <= 125 w) ...
841480,air pumps air or other gas compressors and ventilating or recycling hoods incorporating a fan whether or not fitted with filters having a maximum horizontal side > 120 cm (excl. vacuum pumps hand- or foot-operated air pumps compressors for refrigerating equipment and air compressors mounted on a wheeled chassis for towing)
841510,air conditioning machines designed to be fixed to a window wall ceiling or floor self-contained or split-system
841610,furnace burners for liquid fuel
841620,furnace burners for pulverised solid fuel or gas incl. combination burners
841720,bakery ovens incl. biscuit ovens non-electric
841780,industrial or laboratory furnaces and ovens non-electric incl. incinerators (excl. those for the roasting melting or other heat treatment of ores pyrites or metals bakery ovens drying ovens and ovens for cracking operations)
841810,combined refrigerator-freezers with separate external doors
841821,household refrigerators compression-type
841830,freezers of the chest type of a capacity <= 800 l ...
841840,freezers of the upright type of a capacity <= 900 l ...
841850,furniture chests cabinets display counters show-cases and the like for storage and display incorporating refrigerating or freezing equipment (excl. combined refrigerator-freezers with separate external doors household refrigerators and freezers of the chest type of a capacity <= 800 l or of the upright type of a capacity <= 900 l) ...
841899,parts of refrigerating or freezing equipment and heat pumps n.e.s.
841950,heat-exchange units (excl. those used with boilers)
841981,machinery plant and equipment for making hot drinks or for cooking or heating food (excl. domestic appliances)
841989,machinery plant or laboratory equipment whether or not electrically heated for the treatment of materials by a process involving a change of temperature such as heating cooking roasting sterilising pasteurising steaming evaporating vaporising condensing or cooling n.e.s. (excl. machinery used for domestic purposes and furnaces ovens and other equipment of heading 8514)
841990,parts of machinery plant and laboratory equipment whether or not electrically heated for the treatment of materials by a process involving a change of temperature and of non-electric instantaneous and storage water heaters n.e.s.
842010,calendering or other rolling machines (other than for metals or glass)
842091,cylinders for calendering or other rolling machines (other than for metals or glass)
842119,centrifuges incl. centrifugal dryers (excl. isotope separators cream separators and clothes dryers)
842129,machinery and apparatus for filtering or purifying liquids (excl. such machinery and apparatus for water and other beverages oil or petrol-filters for internal combustion engines and artificial kidneys)
842139,machinery and apparatus for filtering or purifying gases (excl. isotope separators and intake air filters for internal combustion engines)
842199,parts of machinery and apparatus for filtering or purifying liquids or gases n.e.s.
842290,parts of dishwashing machines packing or wrapping machinery and other machinery and apparatus of heading 8422 n.e.s.
842310,personal weighing machines incl. baby scales; household scales
842320,scales for continuous weighing of goods on conveyors
842330,constant weight scales and scales for discharging a pre-determined weight of material into a bag or container incl. hopper scales (excl. scales for continuous weighing of goods on conveyors)
842381,weighing machinery having a maximum weighing capacity <= 30 kg (excl. balances of a sensitivity of 5 cg or better personal weighing machines household scales scales for continuous weighing of goods on conveyors constant weight scales and scales for discharging a pre-determined weight of material into a bag or container incl. hopper scales) ...
842382,weighing machinery of a maximum weighing capacity > 30 kg but <= 5.000 kg (excl. personal weighing machines scales for continuous weighing of goods on conveyors constant weight scales and scales for discharging a pre-determined weight of material into a bag or container incl. hopper scales) ...
842389,weighing machinery of a maximum weighing capacity > 5.000 kg
842390,weighing machine weights of all kinds; parts of weighing machinery n.e.s.
842430,steam or sand blasting machines and similar jet projecting machines incl. water cleaning appliances with built-in motor (excl. appliances for cleaning special containers)
842449,agricultural or horticultural sprayers (excl. portable)
842482,agricultural or horticultural mechanical appliances whether or not hand-operated for projecting or dispersing liquids or powders (excl. sprayers)
842489,mechanical appliances whether or not hand-operated for projecting dispersing or spraying liquids or powders n.e.s.
842490,parts of fire extinguishers spray guns and similar appliances steam or sand blasting machines and similar jet projecting machines and machinery and apparatus for projecting dispersing or spraying liquids or powders n.e.s.
842691,cranes designed for mounting on road vehicles
842710,self-propelled trucks fitted with lifting or handling equipment powered by an electric motor
842720,self-propelled trucks fitted with lifting or handling equipment non-powered by an electric motor
842810,lifts and skip hoists
842820,pneumatic elevators and conveyors
842839,continuous-action elevators and conveyors for goods or materials (excl. those for underground use and bucket belt or pneumatic types)
842890,machinery for lifting handling loading or unloading n.e.s.
842940,self-propelled tamping machines and roadrollers
842951,self-propelled front-end shovel loaders
842952,self-propelled mechanical shovels excavators and shovel loaders with a 360° revolving superstructure
843149,parts of machinery of heading 8426 8429 and 8430 n.e.s.
843229,harrows scarifiers cultivators weeders and hoes for use in agriculture horticulture or forestry (excl. disc harrows)
843239,seeders planters and transplanters (excl. no-till machines)
843311,mowers for lawns parks or sports grounds powered with the cutting device rotating in a horizontal plane
843319,mowers for lawns parks or sports grounds powered with the cutting device rotating in a vertical plane or with cutter bars
843320,mowers incl. cutter bars for tractor mounting (excl. mowers for lawns parks or sports grounds)
843353,root or tuber harvesting machines
843359,harvesting machinery for agricultural produce (excl. mowers haymaking machinery straw and fodder balers incl. pick-up balers combine harvester-threshers other threshing machinery and root or tuber harvesting machines)
843680,agricultural horticultural forestry or bee-keeping machinery n.e.s.
843810,bakery machinery and machinery for the industrial preparation or manufacture of macaroni spaghetti or similar products (excl. ovens macaroni drying machines and dough rollers)
843880,machinery for the industrial preparation or manufacture of food or drink n.e.s.
844010,bookbinding machinery incl. book-sewing machines (excl. machinery of heading 8441 general-purpose presses printing machinery of heading 8443 and machines of uses ancillary to printing)
844110,cutting machines for making up paper pulp paper or paperboard (excl. bookbinding machinery of heading 8440)
844190,parts of machinery for making up paper pulp paper or paperboard n.e.s.
844313,offset printing machinery (excl. sheet fed offset printing machinery sheet size <= 22 x 36 cm and reel fed offset printing machinery) ...
844319,printing machinery used for printing by means of plates cylinders and other printing components of heading 8442 (excl. hectograph or stencil duplicating machines addressing machines and other office printing machines of heading 8469 to 8472 ink jet printing machines and offset flexographic letterpress and gravure printing machinery)
844332,machines which only perform one of the functions of printing copying or facsimile transmission capable of connecting to an automatic data processing machine or to a network
844391,parts and accessories of printing machinery used for printing by means of plates cylinders and other printing components of heading 8442
844399,parts and accessories of printers copying machines and facsimile machines n.e.s. (excl. of printing machinery used for printing by means of plates cylinders and other printing components of heading 8442)
844400,machines for extruding drawing texturing or cutting man-made textile materials
844720,flat knitting machines; stitch-bonding machines
844851,sinkers needles and other articles used in forming stitches for machines of heading 8447
845011,fully-automatic household or laundry-type washing machines of a dry linen capacity <= 6 kg ...
845180,machinery for dressing finishing coating or impregnating textile yarns fabrics or other made-up textile articles and machines used in the manufacture of linoleum or other floor coverings for applying the paste to the base fabric or other support (excl. machinery for dressing or finishing felt calenders and general purpose presses)
845210,sewing machines of the household type
845430,casting machines of a kind used in metallurgy or in metal foundries
845530,rolls for metal-rolling mills
845611,machine tools for working any material by removal of material operated by laser (excl. soldering and welding machines also those which can be used for cutting material testing machines and machines for the manufacture of semiconductor devices or of electronic integrated circuits)
845612,machine tools for working any material by removal of material operated by light or photon beam processes other than laser (excl. soldering and welding machines also those which can be used for cutting material testing machines and machines for the manufacture of semiconductor devices or of electronic integrated circuits)
845630,machine tools for working any material by removal of material operated by electro-discharge processes
845710,machining centres for working metal
845730,multi-station transfer machines for working metal
845811,horizontal lathes incl. turning centres for removing metal numerically controlled
845891,lathes incl. turning centres for removing metal numerically controlled (excl. horizontal lathes)
845961,milling machines for metals numerically controlled (excl. way-type unit head machines boring-milling machines knee-type milling machines and gear cutting machines)
845969,milling machines for metals not numerically controlled (excl. way-type unit head machines boring-milling machines knee-type milling machines and gear cutting machines)
846029,grinding machines for finishing metal not numerically controlled (excl. flat-surface and gear grinding machines)
846040,honing or lapping machines for working metals metal carbides or cermets (excl. gear cutting gear grinding or gear finishing machines)
846130,broaching machines for working metals metal carbides or cermets
846140,gear cutting gear grinding or gear finishing machines for working metals metal carbides or cermets (excl. planing slotting and broaching machines)
846150,sawing or cutting-off machines for working metals metal carbides or cermets (excl. machines for working in the hand)
846210,forging or die-stamping machines incl. presses and hammers
846221,bending folding straightening or flattening machines incl. presses numerically controlled for working metal
846229,bending folding straightening or flattening machines incl. presses not numerically controlled for working metal
846239,shearing machines incl. presses not numerically controlled for working metal (excl. combined punching and shearing machines)
846241,punching or notching machines incl. presses and combined punching and shearing machines numerically controlled for working metal
846249,punching or notching machines incl. presses and combined punching and shearing machines not numerically controlled for working metal
846291,hydraulic presses for working metal (excl. forging bending folding straightening and flattening presses)
846299,presses not hydraulic for working metal (excl. forging bending folding straightening and flattening presses)
846310,draw-benches for metal bars tubes profiles wire or the like
846420,grinding or polishing machines for working stone ceramics concrete asbestos-cement or like mineral materials or for cold-working glass (excl. machines for working in the hand)
846510,machines for working wood cork bone hard rubber hard plastics or similar hard materials which can carry out different types of machining operations without tool change between such operations
846591,sawing machines for working wood cork bone hard rubber hard plastics or similar hard materials (excl. machines for working in the hand)
846610,tool holders incl. tool holders for any type of tool for working in the hand and self-opening dieheads for machine tools
846620,work holders for machine tools
846691,parts and accessories for machine tools for working stone ceramics concrete asbestos-cement or like mineral materials or for cold-working glass n.e.s.
846692,parts and accessories for machine tools for working wood cork bone hard rubber hard plastics or similar hard materials n.e.s.
846693,parts and accessories for machine tools for working material by removing material of headings 8456 to 8461 n.e.s.
846711,tools for working in the hand pneumatic rotary type incl. combined rotary-percussion
846721,drills of all kinds for working in the hand with self-contained electric motor
846722,saws for working in the hand with self-contained electric motor
846729,electromechanical tools for working in the hand with self-contained electric motor (excl. saws and drills)
847160,input or output units for automatic data-processing machines whether or not containing storage units in the same housing
847170,storage units for automatic data-processing machines
847290,office machines n.e.s.
847321,parts and accessories of electronic calculating machines of subheading 847010 847021 or 847029 n.e.s.
847329,parts and accessories of non-electronic calculators for accounting machines cash registers or other machines incorporating a calculating device of heading 8470 n.e.s.
847330,parts and accessories of automatic data-processing machines or for other machines of heading 8471 n.e.s.
847340,parts and accessories of other office machines of heading 8472 n.e.s.
847350,parts and accessories equally suitable for use with machines of two or more of the headings 8470 to 8472 n.e.s.
847480,machinery for agglomerating shaping or moulding solid mineral fuels ceramic paste unhardened cements plastering materials and other mineral products in powder or paste form; machines for forming foundry moulds of sand (excl. those for the casting or pressing of glass)
847490,parts of machinery for working mineral substances of heading 8474 n.e.s.
847590,parts of machines for assembling electric or electronic lamps tubes or valves or flashbulbs in glass envelopes and of machines for manufacturing or hot working glass or glassware n.e.s.
847689,automatic goods-vending machines without heating or refrigerating devices; money changing machines (excl. automatic beverage-vending machines)
847690,parts of automatic goods-vending machines incl. money changing machines n.e.s.
847759,machinery for moulding or otherwise forming products from rubber or plastics (excl. injection-moulding machines extruders blow-moulding machines vacuum-moulding and other thermoforming machines; machinery for moulding or retreading pneumatic tyres or for moulding or otherwise forming inner tubes)
847780,machinery for working rubber or plastics or for the manufacture of products from these materials not specified or included elsewhere in this chapter
847790,parts of machinery for working rubber or plastics or for the manufacture of products from these materials n.e.s.
847930,presses for the manufacture of particle board or fibre building board of wood or other ligneous materials and other machinery for treating wood or cork (excl. dryers spray guns and the like and machine tools)
847989,machines and mechanical appliances n.e.s.
847990,parts of machines and mechanical appliances n.e.s.
848030,moulding patterns (excl. moulds of graphite or other carbons and ceramic or glass moulds)
848110,pressure-reducing valves
848120,valves for oleohydraulic or pneumatic transmission
848130,check non-return valves for pipes boiler shells tanks vats or the like
848140,safety or relief valves
